ncessch_school_id,unemployment_rate,pct_adults_college,pct_children_married_couple,median_household_income,act_avg,frl_pct,statename,st,sch_name,sch_type_text,level,ncessch,state_fips,state_abbrev,state_name,census_region,census_division,log_median_income,act_composite_2016,percent_taking_2016,frl_x_unemployment,high_participation,income_quartile,frl_pct_z,median_household_income_z,unemployment_rate_z
120015000119,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,25.8424908424908,0.0765957446808511,,,,,,120015000119,12,FL,Florida,South,South Atlantic,10.523660733137401,19.9,81,0.011924862153826985,1,Q2_Medium_Low,-1.443879096162264,-0.6130349299572408,0.966090385810477
120015000127,0.102790014684288,0.843220338983051,0.535976505139501,64151.0,24.5482295482295,0.196735395189003,,,,,,120015000127,12,FL,Florida,South,South Atlantic,11.06899495838682,19.9,81,0.02022243416039682,1,Q4_High,-0.9410820803969387,0.5000643103058873,0.06895255738010672
120015000131,0.0253807106598985,0.890625,0.720739219712526,61726.0,23.8156288156288,0.151162790697674,,,,,,120015000131,12,FL,Florida,South,South Atlantic,11.030460514973196,19.9,81,0.0038366190532404605,1,Q4_High,-1.1318082015565711,0.39996545776423903,-1.2439487511051117
120015002977,0.10989010989011,0.539008894536213,0.940397350993378,56912.0,23.5225885225885,0.306408544726302,,,,,,120015002977,12,FL,Florida,South,South Atlantic,10.949261494188237,19.9,81,0.033671268651242016,1,Q3_Medium_High,-0.48208846701701163,0.20125375626506606,0.18937379619083564
120015003293,0.0919780011378722,0.536483445837351,0.560511643161692,42979.0,21.5445665445665,0.375537799631223,,,,,,120015003293,12,FL,Florida,South,South Atlantic,10.668466903290184,19.9,81,0.034541216161794654,1,Q2_Medium_Low,-0.19277529754082515,-0.37387090866804096,-0.11442471117118688
120015003296,0.0991080277502478,0.6939586645469,0.786802030456853,39558.0,26.2332112332112,0.0842872008324662,,,,,,120015003296,12,FL,Florida,South,South Atlantic,10.585523228341355,19.9,81,0.008353538239094769,1,Q2_Medium_Low,-1.4116895468871933,-0.5150825270371042,0.006504179572656372
120015004244,0.113516113516114,0.677391677391677,0.753640776699029,66603.0,22.960927960928,0.0754048582995951,,,,,,120015004244,12,FL,Florida,South,South Atlantic,11.106504900559028,19.9,81,0.008559666454403328,1,Q4_High,-1.448863080351318,0.601277665535628,0.25087266851828705
120015007530,0.224315952503872,0.521924626688789,0.665893271461717,48565.0,19.2979242979243,0.47966573816156,,,,,,120015007530,12,FL,Florida,South,South Atlantic,10.790658385836432,19.9,81,0.1075966769391832,1,Q3_Medium_High,0.2430110272021138,-0.14329268586488758,2.1300944935994908
120018000153,0.123298638911129,0.517125587642713,0.441,35256.0,20.5677655677656,0.57639569049951,,,,,,120018000153,12,FL,Florida,South,South Atlantic,10.470391006521822,19.9,81,0.07106880411282995,1,Q1_Low,0.6478360051750881,-0.692659955339855,0.4167892925375191
120018000157,0.11660777385159,0.62258876153201,0.405096660808436,42275.0,19.0781440781441,0.723174603174603,,,,,,120018000157,12,FL,Florida,South,South Atlantic,10.651951173766781,19.9,81,0.08432778058219745,1,Q2_Medium_Low,1.2621211221882134,-0.40293053431312154,0.3033088058921537
120018000160,0.118674918092465,0.462140063988624,0.639219934994583,51500.0,19.3223443223443,0.584615384615385,,,,,,120018000160,12,FL,Florida,South,South Atlantic,10.849337086651827,19.9,81,0.06937918288482574,1,Q3_Medium_High,0.6822362856360781,-0.02214211588149069,0.33836862735518314
120018000168,0.310185185185185,0.257062146892655,0.157093425605536,15942.0,17.6862026862027,0.759882869692533,,,,,,120018000168,12,FL,Florida,South,South Atlantic,9.676712414987868,19.9,81,0.23570440865462816,1,Q1_Low,1.4157490608501546,-1.489900878222079,3.58648051032943
120018000169,0.223759541984733,0.341088491898629,0.358877086494689,28779.0,18.8827838827839,0.789558665231432,,,,,,120018000169,12,FL,Florida,South,South Atlantic,10.267401233486057,19.9,81,0.17667128530226237,1,Q1_Low,1.5399453721787608,-0.9600167668500634,2.1206574871848303
120018000171,0.113344051446945,0.460811756473058,0.420624151967436,25477.0,17.2710622710623,0.744514106583072,,,,,,120018000171,12,FL,Florida,South,South Atlantic,10.145531363350818,19.9,81,0.084386245199528,1,Q1_Low,1.3514291781573307,-1.096316317816052,0.24795440799909305
120018000217,0.117365710080942,0.533711405166982,0.846036585365854,31934.0,21.3003663003663,0.569156626506024,,,,,,120018000217,12,FL,Florida,South,South Atlantic,10.371426551899647,19.9,81,0.06679947161715301,1,Q1_Low,0.6175397644463706,-0.8297850638525789,0.3161637912173164
120018000225,0.197635135135135,0.493370551290998,0.560143626570916,45759.0,20.0549450549451,0.4826224328594,,,,,,120018000225,12,FL,Florida,South,South Atlantic,10.731143772668043,19.9,81,0.09538314973741514,1,Q2_Medium_Low,0.2553851040727822,-0.2591184096718422,1.677574212266988
120018000231,0.202110649184522,0.451375559820857,0.425430210325048,43669.0,18.4676434676435,0.640928725701944,,,,,,120018000231,12,FL,Florida,South,South Atlantic,10.684393747202078,19.9,81,0.12953852083262835,1,Q2_Medium_Low,0.9179135139810661,-0.3453891733056751,1.7534812149928214
120018000234,0.0850327048864948,0.597447395653674,0.642857142857143,38598.0,21.5201465201465,0.415735567970205,,,,,,120018000234,12,FL,Florida,South,South Atlantic,10.560955740639056,19.9,81,0.03535111986202974,1,Q2_Medium_Low,-0.02454342841369955,-0.554709289280396,-0.23222048070010426
120018000241,0.0596926713947991,0.625744258576694,0.495787427090084,58329.0,19.0537240537241,0.562214089661482,,,,,,120018000241,12,FL,Florida,South,South Atlantic,10.973854675763935,19.9,81,0.03356006090768896,1,Q3_Medium_High,0.5884845208818016,0.259744508451258,-0.6620003830981986
